member_email,bickeree_number,score
a@princeton.edu,1,3
b@princeton.edu,2,1
b@princeton.edu,3,5
b@princeton.edu,4,2
e@princeton.edu,4,5
f@princeton.edu,4,4
g@princeton.edu,1,2
h@princeton.edu,2,4
i@princeton.edu,2,3
j@princeton.edu,1,1
j@princeton.edu,2,2
j@princeton.edu,3,3
j@princeton.edu,4,5
j@princeton.edu,5,4
j@princeton.edu,6,2
j@princeton.edu,7,5
j@princeton.edu,8,1
j@princeton.edu,9,3
j@princeton.edu,10,2
k@princeton.edu,1,4
k@princeton.edu,2,5
k@princeton.edu,3,1
k@princeton.edu,4,3
k@princeton.edu,5,2
k@princeton.edu,6,4
k@princeton.edu,7,1
k@princeton.edu,8,5
k@princeton.edu,9,2
k@princeton.edu,10,3
l@princeton.edu,1,2
l@princeton.edu,2,3
l@princeton.edu,3,4
l@princeton.edu,4,1
l@princeton.edu,5,5
l@princeton.edu,6,3
l@princeton.edu,7,1
l@princeton.edu,8,4
l@princeton.edu,9,2
l@princeton.edu,10,5
m@princeton.edu,1,3
m@princeton.edu,2,4
m@princeton.edu,3,2
m@princeton.edu,4,1
m@princeton.edu,5,5
m@princeton.edu,6,2
m@princeton.edu,7,4
m@princeton.edu,8,3
m@princeton.edu,9,1
m@princeton.edu,10,5
n@princeton.edu,1,4
n@princeton.edu,2,1
n@princeton.edu,3,5
n@princeton.edu,4,2
n@princeton.edu,5,3
n@princeton.edu,6,1
n@princeton.edu,7,2
n@princeton.edu,8,5
n@princeton.edu,9,4
n@princeton.edu,10,3
