member_email,bickeree_number,score,gender
a@princeton.edu,1,3,0
b@princeton.edu,2,1,0
b@princeton.edu,3,5,1
b@princeton.edu,4,2,2
e@princeton.edu,4,5,0
f@princeton.edu,4,4,1
g@princeton.edu,1,2,1
h@princeton.edu,2,4,0
i@princeton.edu,2,3,1
j@princeton.edu,1,1,0
j@princeton.edu,2,2,1
j@princeton.edu,3,3,0
j@princeton.edu,4,5,1
j@princeton.edu,5,4,0
j@princeton.edu,6,2,1
j@princeton.edu,7,5,0
j@princeton.edu,8,1,1
j@princeton.edu,9,3,0
j@princeton.edu,10,2,1
k@princeton.edu,1,4,1
k@princeton.edu,2,5,0
k@princeton.edu,3,1,1
k@princeton.edu,4,3,0
k@princeton.edu,5,2,1
k@princeton.edu,6,4,0
k@princeton.edu,7,1,1
k@princeton.edu,8,5,0
k@princeton.edu,9,2,1
k@princeton.edu,10,3,0
l@princeton.edu,1,2,0
l@princeton.edu,2,3,1
l@princeton.edu,3,4,0
l@princeton.edu,4,1,1
l@princeton.edu,5,5,0
l@princeton.edu,6,3,1
l@princeton.edu,7,1,0
l@princeton.edu,8,4,1
l@princeton.edu,9,2,0
l@princeton.edu,10,5,1
m@princeton.edu,1,3,1
m@princeton.edu,2,4,0
m@princeton.edu,3,2,1
m@princeton.edu,4,1,0
m@princeton.edu,5,5,1
m@princeton.edu,6,2,0
m@princeton.edu,7,4,1
m@princeton.edu,8,3,0
m@princeton.edu,9,1,1
m@princeton.edu,10,5,0
n@princeton.edu,1,4,0
n@princeton.edu,2,1,1
n@princeton.edu,3,5,0
n@princeton.edu,4,2,1
n@princeton.edu,5,3,0
n@princeton.edu,6,1,1
n@princeton.edu,7,2,0
n@princeton.edu,8,5,1
n@princeton.edu,9,4,0
n@princeton.edu,10,3,1
